Biblioteca,Ciutat,Manuscrits
Leopold-Sophien-Bibliothek,Überlingen,141 - 160
Martinus-Bibliothek (olim Priesterseminar),Magúncia,220a - 220b - 220c - 220d - 220e - 220f - 220g - 220h - 220i - 220k - 220m - 220n - 220p
Maurits Sabbebibliotheek,Lovaina,PM 0018/V
Medical Library,Boston,18
Merton College,Oxford,89 - 94
Monastero di Camaldoli,Camaldoli,74
Museu Episcopal,Vic,35 - 267
National Library of Scotland,Edimburg,Acc. 9253 - 31.1.09
Országos Széchényi Könyvtár,Budapest,201 - 202
Peralada,Palma,[Fons general. Codi: 242]
Pfälzische Landesbibliothek,Speyer,595
Poblet (Vimbodí),Palma,[Fons general. Codi: 217]
Queen's College,Oxford,161
Real Academia de la Historia,Madrid,"N-7 (sign. antiga) - 9-2163 - 9-2167 - 9-4024 - 9-5745 - 9-7117, VI, 1922/36"
Rubiconia Accademia dei Filopatridi,Savignano sul Rubicone,27
Salamanca,Palma,[Fons general. Codi: 144]
San Candido,Roma,[Fons general. Codi: 12]
Santander,Palma,[Fons general. Codi: 147]
Seminario Conciliar,Las Palmas,I
Societat Arqueològica Lul·liana,Palma,"lligall s. s. - s. s. - s. s. (Misc. Rosselló) - 1 - 2 - 3 - 4 - 5 - 6 - 7 - 8 - 9 - 10, 84 - 110 - 111"
St. Bonaventure University,St. Bonaventure (NY),3 - 4
St. John's College,Oxford,102
St. Nikolaus Hospital,Bernkastel-Kues,37 - 81 - 82 - 83 - 84 - 85 - 86 - 87 - 88 - 118
St. Peter,Salzburg,b. V. 17
Staats- und Stadtbibliothek,Augsburg,Fol. Cod. 501 - 4º Cod. 63 - 2º Cod. 194 - 8º Cod. 127
Staatsbibliothek,Berlín,"63, 187 - 192, 1911, 312"
Stadtbibliothek,Magúncia,I 13 - I 109 - I 175 - I 239 - I 301 - II 88 - II 234 - II 236 - II 238 - II 239 - II 438
Stadtbibliothek,Trèveris,611/1548 - 1895/1428 - 1925/1482
Sächsische Landesbibliothek,Dresden,N 101 - N 177 - Oc61
The Library of Robert B. Honeyman,San Juan Capistrano (Califòrnia),B
The Warden and Fellows Library,Winchester,39
Thomas Fisher Rare Book Library,Toronto,ms. 4069
Trinity College,Cambridge (GB),"O.8.5 o 1380 - O.3.27 o 1199 - O.3.39 o 1211 - O.4.39 o 1269 - O.8.14 o 1389 - O.8.28 o 1403 - O.8.32 o 1407, R.I.66"
Union Theological Seminary Library,New York,14
Universitetsbiblioteket,Uppsala,C 51
University Library,Cambridge (GB),2391
University Library,Cincinnati,11
University Library,Edimburg,117 - 127 - 131 - 31.5.2 - 31.3.20
University Library,Filadèlfia,Codex 69 - Codex 828
University of Glascow Library,Glasgow,"13 - 14 - 37 - 59 - 83 - 105 - 107 - 123 - 192 - 229 - 230 - 323 - 308/1, B.C.10b.5, 26"
Universitäts- und Forschungsbibliothek Erfurt/Gotha,Gotha,"1501 - 1502, 1017"
Universitäts- und Landesbibliothek,Düsseldorf,B 121
Universitäts- und Landesbibliothek,Münster,201
Universitäts- und Landesbibliothek Sachsen-Anhalt,Halle,Stolb.-Wernig. Za 3 - Yc 8º 7 - Yc 8º 9
Universitätsbibliothek,Basilea,F IX 15 - O II 10
Universitätsbibliothek,Erfurt,CA. 4° 116
Universitätsbibliothek,Freiburg i. B.,1450
Universitätsbibliothek,Graz,42
Universitätsbibliothek,Göttingen,33
Universitätsbibliothek,Leipzig,1361 - 1362
Universitätsbibliothek,Munic,296
Universitätsbibliothek,Salzburg,M I 467
Universitätsbibliothek Erlangen-Nürnberg,Erlangen,871 - 1158
Universítni Kníhovna,Praga,XXIII D 132 (Lobk. 249)
Wellcome Institute for the History of Science,Londres,117 - 185 - 186 - 383 - 384 - 385 - 441 - 442 - 443 - 444 - 445 - 446 - 447 - 448 - 449 - 450 - 451 - 452 - 511 - 512 - 514 - 519 - 520 - 525 - 526 - 527 - 528 - 598 - 758 - 1041 - 1295 - 1298 - 3346 - 3347 - 3557 - 3558 - 3563 - 3574 - 3639 - 3934 - 3945 - 4166
Württembergische Landesbibliothek,Stuttgart,"4º 31, HB XI 48"
"Yale, Beinecke Rare Books and Manuscript Library",New Haven,8 - 12 - 17 - 19 - 34 - 36 - 39 - 97 - 126
Zentral- und Hochschulbibliothek,Lucerna,13.4º
Zentralbibliothek,Zuric,C 53
Évêché Maronite,Alep (Síria),127
Österreichische Nationalbibliothek,Viena,"2474 - 2529 - 2530 - 4480 - 5168 - 5169 - 5230 - 5485 - 5487 - 5509 - 5510 - 5511 - 5520 - 11282 - 11327 - 11342 - 11378 - 11379 - 12834 - 12837, 12834"
