,Ciutat,Biblioteca,Fons,Manuscrits,Unnamed: 4
47,Palma,Poblet (Vimbodí),Biblioteca del Monestir,[Fons general. Codi: 217],35 - 70
48,Palma,Salamanca,Biblioteca Universitaria,[Fons general. Codi: 144],1763 - 1866 - 1870 - 1875 - 2108 - 2311 - 2465 - 2577
49,Palma,Santander,Biblioteca de Menéndez Pelayo,[Fons general. Codi: 147],s. n. - 283 - 44 (catàleg Artigas)
50,Saragossa,Biblioteca Capitular,[Fons general. Codi: 34],1257,
51,Segovia,Archivo de la Catedral,[Fons general. Codi: 331],B 290 - B 332,
52,Sevilla,Arxiu ducal de Medinaceli,Arxiu Històric,"llig. 1083, ""ramo"" 30, 1",
53,Sevilla,Biblioteca Colombina,[Fons general. Codi: 149],7-4-5 - 7-7-8 - 5-1-28 - 5-1-42 - 5-1-46 - 5-3-26 - 5-4-48 - 5-6-35 - 7-2-27 - 7-6-41 - 141-23-14 - 141-23-15,
54,Tarassona,Archivo de la Catedral,[Fons general. Codi: 35],30,
55,Toledo,Biblioteca Capitular,[Fons general. Codi: 153],21-7 - 96-31 - 96-32 - 96-39 - 22-23 Zelada - 47-25 Zelada,
56,València,Biblioteca Històrica de la Universitat de València,[Fons general. Codi: 215],216,
57,Valldemossa,Col·lecció privada,[Fons general. Codi: 240],s. n.,
58,Vic,Museu Episcopal,[Fons general. Codi: 172],35 - 267,
59,Vilanova i la Geltrú,Biblioteca Museu Víctor Balaguer,[Fons general. Codi: 324],444,
60,Vilassar de Dalt,Arxiu dels Marquesos de Santa Maria de Barberà,[Fons general. Codi: 173],C1-D6-1 - C2-E15-1,
0,Bethlehem (USA),Lehigh University,[Fons general. Codi: 210],1,
1,Boston,Medical Library,[Fons general. Codi: 272],18,
2,Cambridge (USA),Houghton Library - Harvard University,Catalan,11 - 12,
3,Cambridge (USA),Houghton Library - Harvard University,[Fons general. Codi: 349],Typ. 130,
4,Cambridge (USA),Houghton Library - Harvard University,Fr,524 - 525 - 526 - 527 - 528 - 541 - 559,
5,Cincinnati,University Library,[Fons general. Codi: 63],11,
6,Filadèlfia,University Library,[Fons general. Codi: 8],Codex 69 - Codex 828,
7,Hanover (USA),Dartmouth College Library,[Fons general. Codi: 11],Val. 189 M 319,
8,New Haven,"Yale, Beinecke Rare Books and Manuscript Library",Mellon,8 - 12 - 17 - 19 - 34 - 36 - 39 - 97 - 126,
9,New York,Columbia University,Plimpton,187 - 282,
10,New York,Jewish Theological Seminary,Mic,2312,
11,New York,Union Theological Seminary Library,[Fons general. Codi: 99],14,
12,San Juan Capistrano (Califòrnia),The Library of Robert B. Honeyman,[Fons general. Codi: 308],B,
13,San Marino (Califòrnia),Huntington Library,[Fons general. Codi: 309],s. n.,
14,St. Bonaventure (NY),St. Bonaventure University,[Fons general. Codi: 188],3 - 4,
15,Washington (DC),Holy Name College Library,[Fons general. Codi: 41],39,
0,Arràs,Bibliothèque Municipale,[Fons general. Codi: 43],78 (Quicherot 100),
1,Bordeus,Bibliothèque Municipale,[Fons general. Codi: 271],530 - 532,
2,Bourges,Bibliothèque de la Ville,[Fons general. Codi: 56],82 - 298,
3,Caen,Bibliothèque Municipale,[Fons general. Codi: 275],143,
4,Carpentràs,Bibliothèque Inguimbertine,[Fons general. Codi: 62],294,
5,Clermont-Ferrand,Bibliothèque Municipale et Interuniversitaire,[Fons general. Codi: 181],96,
6,Colmar,Bibliothèque de la Ville,[Fons general. Codi: 64],1,
7,Lió,Bibliothèque Municipale,Fonds Général,258 - 662,
8,Marsella,Bibliothèque Municipale,[Fons general. Codi: 23],1095,
9,Montpeller,Bibliothèque de l'École de Médecine,[Fons general. Codi: 26],H 165 - H 300 - H 469 - H 474 - H 479 - H 482 - H 493,
10,Nantes,Bibliothèque Municipale,[Fons general. Codi: 219],523,
